"Abuse/Neglect Investigations by Community District, 2015-2020",,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,
Borough/Community District1,,Consolidated Investigations,,,Indication Rate3,Consolidated Investigations,,,Indication Rate,Consolidated Investigations,,,Indication Rate,Consolidated Investigations,,,Indication Rate,Consolidated Investigations,,,Indication Rate,Consolidated Investigations,,,Indication Rate
,,Number,Rank2,Children,,Number,Rank,Children,,Number,Rank,Children,,Number,Rank,Children,,Number,Rank,Children,,Number,Rank,Children,
BRONX,,,,,,,,,,,,,,,,,,,,,,,,,
BX01 ,Mott Haven/Melrose," 1,674 ",8," 2,583 ",35.0%," 1,699 ",9," 2,517 ",32.6%," 1,769 ",8," 2,737 ",37.7%," 1,826 ",7," 2,860 ",36.6%," 1,799 ",6," 2,830 ",39.8%," 1,338 ", 6 ," 2,108 ",36.1%
BX02 ,Hunts Point/Longwood, 929 ,20," 1,480 ",37.7%, 933 ,21," 1,459 ",35.4%," 1,009 ",20," 1,578 ",38.0%, 932 ,21," 1,479 ",36.9%, 877 ,21," 1,363 ",36.0%, 570 , 27 , 903 ,39.3%
BX03 ,Morrisania/Crotona," 1,428 ",11," 2,323 ",37.7%," 1,456 ",12," 2,372 ",37.2%," 1,718 ",10," 2,806 ",40.2%," 1,607 ",10," 2,626 ",42.3%," 1,487 ",12," 2,444 ",39.0%," 1,145 ", 10 ," 1,991 ",37.6%
BX04 ,Highbridge/Concourse," 1,831 ",3," 2,892 ",36.6%," 2,022 ",2," 3,173 ",39.5%," 2,004 ",3," 3,187 ",40.6%," 2,034 ",3," 3,142 ",35.3%," 1,846 ",4," 2,931 ",33.2%," 1,430 ", 4 ," 2,393 ",30.0%
BX05 ,Fordham/University Heights," 1,743 ",5," 2,736 ",36.2%," 1,849 ",5," 2,901 ",37.2%," 1,854 ",6," 2,894 ",39.8%," 1,830 ",6," 2,773 ",38.1%," 1,632 ",7," 2,590 ",33.0%," 1,077 ", 11 ," 1,767 ",31.1%
BX06 ,Belmont/East Tremont," 1,706 ",6," 2,732 ",38.4%," 1,680 ",10," 2,789 ",36.6%," 1,674 ",11," 2,703 ",41.8%," 1,486 ",11," 2,407 ",41.3%," 1,499 ",11," 2,442 ",38.4%," 1,043 ", 12 ," 1,820 ",36.7%
BX07 ,Kingsbridge Heights/Bedford Pk," 1,343 ",13," 2,067 ",32.2%," 1,457 ",11," 2,228 ",30.9%," 1,380 ",14," 2,186 ",36.2%," 1,346 ",13," 2,028 ",34.0%," 1,207 ",13," 1,874 ",30.8%, 900 , 15 ," 1,409 ",33.2%
BX08 ,Riverdale/Fieldstone, 455 ,46, 613 ,25.5%, 516 ,45, 723 ,26.9%, 513 ,45, 743 ,31.6%, 550 ,43, 874 ,34.2%, 508 ,44, 722 ,33.5%, 381 , 46 , 573 ,32.3%
BX09 ,Parkchester/Soundview," 1,753 ",4," 2,749 ",31.0%," 1,850 ",4," 2,889 ",32.4%," 1,939 ",5," 3,087 ",33.5%," 1,915 ",5," 3,095 ",33.4%," 1,878 ",3," 3,030 ",34.2%," 1,484 ", 2 ," 2,599 ",35.0%
BX10,Throgs Neck/Co-op City, 703 ,32, 981 ,32.9%, 690 ,33," 1,021 ",30.6%, 817 ,28," 1,209 ",31.5%, 787 ,28," 1,149 ",34.2%, 764 ,27," 1,096 ",34.7%, 553 , 28 , 869 ,32.4%
BX11,Morris Park/Bronxdale, 796 ,25," 1,155 ",31.7%, 913 ,23," 1,355 ",28.7%, 840 ,26," 1,243 ",29.6%, 845 ,24," 1,289 ",32.7%, 822 ,24," 1,266 ",33.2%, 597 , 24 , 997 ,29.5%
BX12,Williamsbridge/Baychester," 1,567 ",10," 2,362 ",30.3%," 1,740 ",7," 2,649 ",31.3%," 1,774 ",7," 2,733 ",37.5%," 1,754 ",8," 2,738 ",34.2%," 1,607 ",8," 2,479 ",36.4%," 1,211 ", 7 ," 2,000 ",35.5%
               ,BRONX TOTAL," 15,928 ",," 24,673 ",34.4%," 16,805 ",," 26,076 ",34.1%," 17,291 ",," 27,106 ",37.4%," 16,912 ",," 26,460 ",36.4%," 15,926 ",," 25,067 ",35.5%," 11,729 ",," 19,429 ",34.2%
BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,,
BK01,Greenpoint/Williamsburg, 481 ,44, 724 ,47.0%, 519 ,44, 733 ,45.5%, 570 ,41, 906 ,47.9%, 633 ,38, 985 ,46.1%, 521 ,42, 773 ,46.0%, 441 , 38 , 696 ,42.0%
BK02,Fort Greene/Brooklyn Heights, 397 ,48, 637 ,40.1%, 397 ,49, 568 ,40.3%, 442 ,46, 647 ,42.3%, 423 ,47, 627 ,38.6%, 415 ,48, 602 ,41.2%, 314 , 49 , 491 ,41.4%
