Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
A.L.M. Security Training Academy School,540 ATLANTIC AVE,BROOKLYN,New York,11217,Brooklyn,Downtown - Heights - Slope,7188550500,,http://www.thealmgroup.com,Job Placement Services are available.,,Allen,Moody,8 HOUR PRE-ASSIGNMENT  16 HOUR OJT & FIREGUARD PREP COURSE,8 HOUR PRE-ASSIGNMENT TRAINING COURSEThis is the first step in obtaining the security license from NYS Department of State. The course provides a general overview of the duties and responsibilities of a security guard. The passing of an examination is required for successful completion of this course. .16 HOUR ON-THE-JOB TRAINING COURSEThis is a 16 hour course that must be completed within 90 days of employment as a security guard. The course provides the student with detailed information on the duties and responsibilities of a security guard. The passing of an examination is required for successful completion of this course. .FIRE GUARD PREP COURSEThis class helps prepare you to take the NYC Fire Department Certificate of Fitness examination for fire guards. The passing of an FDNY examination is required to become licensed as a Fire Guard. .Theses Courses are very interactive  lecture based and provide scenarios that compare with real life situations. .Course price includes $141.75 security guard application and fees (including background checks and fingerprinting fees) and $25 fire guard exam fee (FDNY). Please note: Fire guard certification is NOT required to become a security guard in NYS. Many employers desire licensed guards that have fire guard certification. This course provides security guard licensing and the test preparation and fees for the FDNY Fire Guard (F-01)examination.,guard  security  fire  assignment  safety  officer  correction  enforce,500.00,Classroom Hours 27   Lab Hours 0   Internship Hours 0   Practical Hours 0,,27,Hour(s),27,(A+ Rated School - Voted #1 in NYC) 18 Years or Older - Valid identification - Presentable Attire - Arrive On Time for Class - Pen/Paper to take Notes.  Review: The class was extremely informative and taught by a true professional with extreme class and e,35,,A+ rated  2015 Security School of the Year  NYS DCJS Approved ,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,A+ Technician,This course is geared towards preparing the student for the A+ Certification Exams. The student will be a qualified and certified computer technician after completing this course. Upon completion of training student will receive certificate of completion.,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2500.00,Classroom Hours 18   Lab Hours 18   Internship Hours 18   Practical Hours 18,,72,Hour(s),72,High School Diploma GED or Personal Interview,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,Business Analyst II,A Business Analyst uses technical  analytical  and organizational skills and experience to facilitate the identification  design  and implementation of business and systems solutions in growing and evolving companies and organizations. The Business Analyst serves as the primary liaison between a business and external project stakeholders  documents business needs and requirements  and designs technical solutions as needed. The training program begins with an overview of Business Analysis and a section focused on the skills essential for the Business Analyst. It includes identification and planning of systems development projects  developing a Business Analysis  using Project Management software  structuring system logic requirements  information systems management  and object-oriented analysis and design. Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials),account  bookkeep  bookkeeper  bookkeeping  financial  tax  audit  loan  peachtree  quickbook  irs  budget  credit  finance,3800.00,Classroom Hours 30   Lab Hours 30   Internship Hours 30   Practical Hours 30,,120,Hour(s),120,High School Diploma  GED ,10,,,Classroom Training,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,Certified Nursing Assistant (CNA),Certified Nursing Assistant / Nursing Aide Assistant Program trains to assist the nurse in providing care for the elderly and work as a Nurse Aide in the hospital and nursing home. Training to be qualified to take the New York State Nurse Aide Competency Exam. Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials),Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,1500.00,Classroom Hours 35   Lab Hours 30   Internship Hours 30   Practical Hours 30,,125,Hour(s),125,High School Diploma Or GED,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,Concepts of Film Production ,Concepts of Film Production offer Adobe Premiere  Editing and Software Usage Techniques  Screenwriting and Directing  Microphone  Description and Placement Techniques Camera Techniques  Media Business Environment  Visual Composition Audio  Computer Basics and Hardware  and Video labs. Upon completion of the training student will receive certificate of completion. .Language (English) course cost includes ( Tuition  Books  Supplies  Materials),,5000.00,Classroom Hours 100   Lab Hours 100   Internship Hours 0   Practical Hours 100,,300,Hour(s),300,High School Diploma or GED,8,,,Classroom Training,Check with school to receive most updated schedule,No,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,EKG (Electrocardiography) Technician,A detailed course of Electrocardiography. Recommended for health workers who wish to enter the health care field or upgrade skills. Training for employment as a EKG technician in a hopital or clinic.Upon completion of training student will receive certificate of completion. .Language (Enlgish) Course cost includes (Tuition  Books  Supplies  Materials),Health  home  attendant  Medical  NCLEX  RN  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  care  aide  orderly  nursing,650.00,Classroom Hours 12   Lab Hours 12   Internship Hours 12   Practical Hours 12,,48,Hour(s),48,HIGH SCHOOL DIPLOMA OR GED,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,EKG and Phlebotomy Technician,(INCLUDES EKG and PHLEBOTOMY) This course is to train students in understanding the techniques operation of accurate EKG recording. Phlebotomy teaches the student the baisc principles of blood drawing practicing blood drawing on an artificial arm. Both classes will help existing CNA's upgrade to become Patient Care Technicians (PCT) or Nurse Tech's. Upon completion of training student will receive certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials),Install  Maintenance  Repair  Mechanic  Equipment  Electrical  electronic  electric  Industrial  Security Fire Alarm  Service technicians  Auto  Glass  Service  Engine  building  boiler  Heat  Air condition  Refrigerator  Appliance  plumber  weather,2500.00,Classroom Hours 24   Lab Hours 24   Internship Hours 24   Practical Hours 24,,96,Hour(s),96,HIGH School Diploma or GED,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,Medical Billing Pro Pack ,This program provides the student with comprehensive training in the field of medical billing and coding. It begins with a thorough grounding in keyboarding  word processing (MS Word) and spreadsheets (MS Excel). It continues with extensive training in medical terminology  and covers all aspects of medical office administration and billing  including office simulations  scheduling appointments  medical insurance and health plans  ICD and CPT coding  computerized medical billing (MediSoft)  electronic claims  and reports. Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials),Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,2500.00,Classroom Hours 25   Lab Hours 25   Internship Hours 20   Practical Hours 24,,94,Hour(s),94,High School Diploma  GED  Ability to Benefit.,12,,Registered Nurses  MOUS Instructors.,Classroom Training,Check with school to receive most updated schedule,Yes,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,MS Office Pro Pack,MS Office Pro Pack is a complete training in the use of the Microsoft suite of office software.The student is given intensive instruction in keyboarding  followed by a unit devoted to computer fundamentals. The program covers two levels of MS Word (Levels I and II)  two levels of MS Excel (Levels I and II)  MS Outlook  MS Access  and MS PowerPoint.Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials),Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,1800.00,Classroom Hours 20   Lab Hours 18   Internship Hours 18   Practical Hours 18,,74,Hour(s),74,High School Diploma or GED  ability to Benefit.,12,,MOUS Certified instructors,Classroom Training,Check with school to receive most updated schedule,Yes,No
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,7182630749,http://accessqueens.com,Job Placement Services are available.,Some types of Financial Aid are provided.,Reema,Gunasingh,Network+ ,This program offers general training in computer networking and prepares the student for entry-level employment in the field of computer network installation and support. The course begins with an overview of networking  networking components  and TCP/IP protocols. It then focuses on Ethernet standards  wireless networking  wide area networking  and network performance and optimization. The program concludes with a section covering network troubleshooting  network management and documentation procedures  and network security. ''Upon completion of training students will receive certificate of completion''.Language (English) course cost includes (Tuition  Books  Supplies  Materials).,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,1500.00,Classroom Hours 12   Lab Hours 12   Internship Hours 12   Practical Hours 12,,48,Hour(s),48,High School Diploma and GED  Ability to Benefit,5,,,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
